Datum,Zeit,Durée en secondes,Schlafstadium
2026.02.20 00:16:28,00:16:28,2340,light
2026.02.20 00:55:28,00:55:28,1320,deep
2026.02.20 01:17:28,01:17:28,60,awake
2026.02.20 01:18:28,01:18:28,960,light
2026.02.20 01:34:28,01:34:28,60,deep
2026.02.20 01:35:28,01:35:28,60,awake
2026.02.20 01:36:28,01:36:28,840,light
2026.02.20 01:50:28,01:50:28,120,deep
2026.02.20 01:52:28,01:52:28,240,light
2026.02.20 01:56:28,01:56:28,1860,rem
2026.02.20 02:27:28,02:27:28,180,light
2026.02.20 02:30:28,02:30:28,240,awake
2026.02.20 02:34:28,02:34:28,1020,light
2026.02.20 02:51:28,02:51:28,60,awake
2026.02.20 02:52:28,02:52:28,1320,light
2026.02.20 03:14:28,03:14:28,60,awake
2026.02.20 03:15:28,03:15:28,240,light
2026.02.20 03:19:28,03:19:28,60,awake
2026.02.20 03:20:28,03:20:28,1140,light
2026.02.20 03:39:28,03:39:28,360,rem
2026.02.20 03:45:28,03:45:28,60,light
2026.02.20 03:46:28,03:46:28,1080,rem
2026.02.20 04:04:28,04:04:28,120,awake
2026.02.20 04:06:28,04:06:28,2340,light
2026.02.20 04:45:28,04:45:28,60,awake
2026.02.20 04:46:28,04:46:28,240,light
2026.02.20 04:50:28,04:50:28,60,awake
2026.02.20 04:51:28,04:51:28,420,light
2026.02.20 04:58:28,04:58:28,60,awake
2026.02.20 04:59:28,04:59:28,420,light
2026.02.20 05:06:28,05:06:28,60,awake
2026.02.20 05:07:28,05:07:28,480,light
2026.02.20 05:15:28,05:15:28,120,awake
2026.02.20 05:17:28,05:17:28,360,light
2026.02.20 05:23:28,05:23:28,60,awake
2026.02.20 05:24:28,05:24:28,1380,light
2026.02.20 05:47:28,05:47:28,60,rem
2026.02.20 05:48:28,05:48:28,120,awake
2026.02.20 05:50:28,05:50:28,1200,light
2026.02.20 06:10:28,06:10:28,60,rem
2026.02.20 06:11:28,06:11:28,300,light
2026.02.20 06:16:28,06:16:28,180,rem
2026.02.20 06:19:28,06:19:28,60,awake
2026.02.20 06:20:28,06:20:28,180,rem
2026.02.20 06:23:28,06:23:28,120,awake
2026.02.20 06:25:28,06:25:28,180,light
2026.02.20 06:28:28,06:28:28,360,rem
2026.02.20 06:34:28,06:34:28,60,awake
2026.02.20 06:35:28,06:35:28,60,rem
2026.02.20 06:36:28,06:36:28,180,awake
2026.02.20 06:39:28,06:39:28,180,light
2026.02.20 06:42:28,06:42:28,240,rem
2026.02.20 06:46:28,06:46:28,60,awake
2026.02.20 06:47:28,06:47:28,60,rem
2026.02.20 06:48:28,06:48:28,420,awake
2026.02.20 06:55:28,06:55:28,360,light
2026.02.20 07:01:28,07:01:28,120,awake
2026.02.20 22:12:08,22:12:08,2700,light
2026.02.20 22:57:08,22:57:08,840,deep
2026.02.20 23:11:08,23:11:08,60,awake
2026.02.20 23:12:08,23:12:08,360,light
2026.02.20 23:18:08,23:18:08,60,awake
2026.02.20 23:19:08,23:19:08,960,light
2026.02.20 23:35:08,23:35:08,60,awake
2026.02.20 23:36:08,23:36:08,960,light
2026.02.20 23:52:08,23:52:08,1440,rem
2026.02.21 00:16:08,00:16:08,780,light
2026.02.21 00:29:08,00:29:08,60,awake
2026.02.21 00:30:08,00:30:08,960,light
2026.02.21 00:46:08,00:46:08,60,awake
2026.02.21 00:47:08,00:47:08,840,light
2026.02.21 01:01:08,01:01:08,60,awake
2026.02.21 01:02:08,01:02:08,720,light
2026.02.21 01:14:08,01:14:08,60,awake
2026.02.21 01:15:08,01:15:08,120,light
2026.02.21 01:17:08,01:17:08,120,awake
2026.02.21 01:19:08,01:19:08,900,light
2026.02.21 01:34:08,01:34:08,60,awake
2026.02.21 01:35:08,01:35:08,360,light
2026.02.21 01:41:08,01:41:08,60,awake
2026.02.21 01:42:08,01:42:08,3180,light
