Datum,Zeit,Durée en secondes,Schlafstadium
2026.02.18 06:10:16,06:10:16,1080,light
2026.02.18 06:28:16,06:28:16,720,deep
2026.02.18 22:36:06,22:36:06,2760,light
2026.02.18 23:22:06,23:22:06,900,deep
2026.02.18 23:37:06,23:37:06,60,awake
2026.02.18 23:38:06,23:38:06,600,light
2026.02.18 23:48:06,23:48:06,60,awake
2026.02.18 23:49:06,23:49:06,1800,light
2026.02.19 00:19:06,00:19:06,660,deep
2026.02.19 00:30:06,00:30:06,300,light
2026.02.19 00:35:06,00:35:06,180,awake
2026.02.19 00:38:06,00:38:06,540,light
2026.02.19 00:47:06,00:47:06,480,rem
2026.02.19 00:55:06,00:55:06,60,awake
2026.02.19 00:56:06,00:56:06,840,light
2026.02.19 01:10:06,01:10:06,60,awake
2026.02.19 01:11:06,01:11:06,480,light
2026.02.19 01:19:06,01:19:06,60,awake
2026.02.19 01:20:06,01:20:06,480,light
2026.02.19 01:28:06,01:28:06,60,awake
2026.02.19 01:29:06,01:29:06,3300,light
2026.02.19 02:24:06,02:24:06,60,rem
2026.02.19 02:25:06,02:25:06,120,awake
2026.02.19 02:27:06,02:27:06,1680,light
2026.02.19 02:55:06,02:55:06,60,awake
2026.02.19 02:56:06,02:56:06,660,light
2026.02.19 03:07:06,03:07:06,60,awake
2026.02.19 03:08:06,03:08:06,1500,light
2026.02.19 03:33:06,03:33:06,60,awake
2026.02.19 03:34:06,03:34:06,1320,light
2026.02.19 03:56:06,03:56:06,60,rem
2026.02.19 03:57:06,03:57:06,660,light
2026.02.19 04:08:06,04:08:06,240,rem
2026.02.19 04:12:06,04:12:06,60,awake
2026.02.19 04:13:06,04:13:06,1200,light
2026.02.19 04:33:06,04:33:06,60,awake
2026.02.19 04:34:06,04:34:06,660,light
2026.02.19 04:45:06,04:45:06,60,awake
2026.02.19 04:46:06,04:46:06,480,light
2026.02.19 04:54:06,04:54:06,600,rem
2026.02.19 05:04:06,05:04:06,120,awake
2026.02.19 05:06:06,05:06:06,1140,light
2026.02.19 05:25:06,05:25:06,540,rem
2026.02.19 05:34:06,05:34:06,300,awake
