Datum,Zeit,Puls,Datenquelle
2026.02.18 00:00:10,00:00:10,61,
2026.02.18 00:10:08,00:10:08,60,
2026.02.18 00:20:08,00:20:08,63,
2026.02.18 00:30:09,00:30:09,64,
2026.02.18 00:40:08,00:40:08,55,
2026.02.18 00:50:09,00:50:09,60,
2026.02.18 01:00:10,01:00:10,60,
2026.02.18 01:10:08,01:10:08,53,
2026.02.18 01:20:08,01:20:08,57,
2026.02.18 01:30:09,01:30:09,56,
2026.02.18 01:40:08,01:40:08,56,
2026.02.18 01:50:10,01:50:10,86,
2026.02.18 02:00:08,02:00:08,57,
2026.02.18 02:10:20,02:10:20,111,
2026.02.18 02:20:08,02:20:08,54,
2026.02.18 02:30:21,02:30:21,54,
2026.02.18 02:40:09,02:40:09,57,
2026.02.18 02:50:09,02:50:09,56,
2026.02.18 03:00:12,03:00:12,55,
2026.02.18 03:10:10,03:10:10,57,
2026.02.18 03:20:09,03:20:09,54,
2026.02.18 03:30:14,03:30:14,55,
2026.02.18 03:40:09,03:40:09,56,
2026.02.18 03:50:08,03:50:08,61,
2026.02.18 04:00:09,04:00:09,63,
2026.02.18 04:10:11,04:10:11,60,
2026.02.18 04:20:08,04:20:08,59,
2026.02.18 04:30:16,04:30:16,52,
2026.02.18 04:40:16,04:40:16,52,
2026.02.18 04:50:09,04:50:09,51,
2026.02.18 05:00:12,05:00:12,74,
2026.02.18 05:10:12,05:10:12,53,
2026.02.18 05:20:08,05:20:08,52,
2026.02.18 05:30:12,05:30:12,66,
2026.02.18 05:40:21,05:40:21,64,
2026.02.18 05:50:01,05:50:01,52,
2026.02.18 06:00:00,06:00:00,52,
2026.02.18 06:10:00,06:10:00,50,
2026.02.18 06:20:00,06:20:00,53,
2026.02.18 06:30:08,06:30:08,68,
2026.02.18 06:40:21,06:40:21,77,
2026.02.18 07:20:00,07:20:00,79,
2026.02.18 07:30:01,07:30:01,99,
2026.02.18 07:40:01,07:40:01,102,
2026.02.18 07:50:00,07:50:00,78,
2026.02.18 08:00:01,08:00:01,71,
2026.02.18 08:10:01,08:10:01,86,
2026.02.18 08:20:01,08:20:01,100,
2026.02.18 08:30:00,08:30:00,72,
2026.02.18 08:40:01,08:40:01,133,
2026.02.18 08:50:01,08:50:01,80,
2026.02.18 09:00:01,09:00:01,72,
2026.02.18 09:10:01,09:10:01,73,
2026.02.18 09:20:00,09:20:00,74,
2026.02.18 09:30:01,09:30:01,71,
2026.02.18 09:40:01,09:40:01,70,
2026.02.18 09:50:01,09:50:01,62,
2026.02.18 10:00:01,10:00:01,67,
2026.02.18 10:10:00,10:10:00,62,
2026.02.18 10:20:01,10:20:01,64,
2026.02.18 10:30:01,10:30:01,93,
2026.02.18 10:40:01,10:40:01,73,
2026.02.18 10:50:01,10:50:01,59,
2026.02.18 11:00:01,11:00:01,63,
2026.02.18 11:10:00,11:10:00,64,
2026.02.18 11:20:01,11:20:01,96,
2026.02.18 11:30:01,11:30:01,110,
2026.02.18 11:40:02,11:40:02,115,
2026.02.18 11:50:01,11:50:01,88,
2026.02.18 12:00:01,12:00:01,89,
2026.02.18 12:10:01,12:10:01,100,
2026.02.18 12:20:01,12:20:01,91,
2026.02.18 12:30:01,12:30:01,81,
2026.02.18 12:40:01,12:40:01,75,
2026.02.18 12:50:00,12:50:00,74,
2026.02.18 13:00:00,13:00:00,78,
2026.02.18 13:10:00,13:10:00,75,
2026.02.18 13:20:01,13:20:01,85,
2026.02.18 13:30:01,13:30:01,81,
2026.02.18 13:40:01,13:40:01,93,
2026.02.18 13:50:02,13:50:02,83,
2026.02.18 14:00:01,14:00:01,107,
2026.02.18 14:10:01,14:10:01,101,
2026.02.18 14:20:01,14:20:01,135,
2026.02.18 14:30:00,14:30:00,89,
2026.02.18 14:40:01,14:40:01,77,
2026.02.18 14:50:01,14:50:01,98,
2026.02.18 15:00:01,15:00:01,102,
2026.02.18 15:10:01,15:10:01,101,
2026.02.18 15:20:02,15:20:02,68,
2026.02.18 15:30:00,15:30:00,70,
2026.02.18 15:40:01,15:40:01,77,
2026.02.18 15:50:01,15:50:01,90,
2026.02.18 16:00:01,16:00:01,90,
2026.02.18 16:10:02,16:10:02,69,
2026.02.18 16:20:00,16:20:00,90,
2026.02.18 16:30:01,16:30:01,54,
2026.02.18 16:40:01,16:40:01,85,
2026.02.18 16:50:01,16:50:01,65,
2026.02.18 22:30:02,22:30:02,57,
2026.02.18 22:40:02,22:40:02,56,
2026.02.18 22:50:09,22:50:09,57,
2026.02.18 23:00:10,23:00:10,57,
2026.02.18 23:10:09,23:10:09,56,
2026.02.18 23:20:09,23:20:09,57,
2026.02.18 23:30:10,23:30:10,60,
2026.02.18 23:40:19,23:40:19,59,
2026.02.18 23:50:10,23:50:10,61,
